Dashboard: Big5 – Free-riding correlation,,,,
,,,,
Page: Page 1,,,,
,,,,
"Title: Welcome to the research study!  

 

We are interested in understanding Extroversion's effect in free-riding behavior. For this study, you will be asked to answer some questions relevant to Big 5 – More specifically the extraversion aspect.  Your responses will be kept completely confidential.  



The survey should take you around 2 minutes to complete. You will receive blessings for your participation. Your participation in this research is voluntary and you have the right to withdraw at any point during the study. 




By clicking the button below, you acknowledge:

 


 Your participation in the study is voluntary.
 You are 18 years of age.
 You are aware that you may choose to terminate your participation at any time for any reason.",,,,
"Description: Q1 - Welcome to the research study!  

 

We are interested in understanding Extroversion's effect in free-riding behavior. For this study, you will be asked to answer some questions relevant to Big 5 – More specifically the extraversion aspect.  Your responses will be kept completely confidential.  



The survey should take you around 2 minutes to complete. You will receive blessings for your participation. Your participation in this research is voluntary and you have the right to withdraw at any point during the study. 




By clicking the button below, you acknowledge:

 


 Your participation in the study is voluntary.
 You are 18 years of age.
 You are aware that you may choose to terminate your participation at any time for any reason.",,,,
,,,,
"Q1 - Welcome to the research study!  

 

We are interested in understanding Extroversion's effect in free-riding behavior. For this study, you will be asked to answer some questions relevant to Big 5 – More specifically the extraversion aspect.  Your responses will be kept completely confidential.  



The survey should take you around 2 minutes to complete. You will receive blessings for your participation. Your participation in this research is voluntary and you have the right to withdraw at any point during the study. 




By clicking the button below, you acknowledge:

 


 Your participation in the study is voluntary.
 You are 18 years of age.
 You are aware that you may choose to terminate your participation at any time for any reason.",Count,Number of responses,,
"I consent, begin the study",55,55,,
"I do not consent, I do not wish to participate",1,1,,
,,,,
"Title: Welcome to the research study!  

 

We are interested in understanding Extroversion's effect in free-riding behavior. For this study, you will be asked to answer some questions relevant to Big 5 – More specifically the extraversion aspect.  Your responses will be kept completely confidential.  



The survey should take you around 2 minutes to complete. You will receive blessings for your participation. Your participation in this research is voluntary and you have the right to withdraw at any point during the study. 




By clicking the button below, you acknowledge:

 


 Your participation in the study is voluntary.
 You are 18 years of age.
 You are aware that you may choose to terminate your participation at any time for any reason.",,,,
"Description: Q1 - Welcome to the research study!  

 

We are interested in understanding Extroversion's effect in free-riding behavior. For this study, you will be asked to answer some questions relevant to Big 5 – More specifically the extraversion aspect.  Your responses will be kept completely confidential.  



The survey should take you around 2 minutes to complete. You will receive blessings for your participation. Your participation in this research is voluntary and you have the right to withdraw at any point during the study. 




By clicking the button below, you acknowledge:

 


 Your participation in the study is voluntary.
 You are 18 years of age.
 You are aware that you may choose to terminate your participation at any time for any reason.",,,,
,,,,
"Q1 - Welcome to the research study!  

 

We are interested in understanding Extroversion's effect in free-riding behavior. For this study, you will be asked to answer some questions relevant to Big 5 – More specifically the extraversion aspect.  Your responses will be kept completely confidential.  



The survey should take you around 2 minutes to complete. You will receive blessings for your participation. Your participation in this research is voluntary and you have the right to withdraw at any point during the study. 




By clicking the button below, you acknowledge:

 


 Your participation in the study is voluntary.
 You are 18 years of age.
 You are aware that you may choose to terminate your participation at any time for any reason.",Percentage,Count,,
"I consent, begin the study",98%,55,,
"I do not consent, I do not wish to participate",2%,1,,
,,,,
