,,,,,,,,
,Evaluated_id,Extroversion_scores,self_score,average_peer_score,free_rider_flag,,free_rider_count_per_team,extrovert_count
101,1,82,4,2,1,,2,2
,2,44,3,4.25,0,,,
,3,60,3,5,0,,,
,4,68,3,2.75,0,,,
,5,80,3,2.5,1,,,
102,6,54,4,3.1,0,,0,5
,7,54,4,3.5,0,,,
,8,62,3,4.5,0,,,
,9,62,3,4.8,0,,,
,10,60,4,4.8,0,,,
103,11,58,4,3.1,0,,1,4
,12,70,3,1.5,1,,,
,13,58,3,4.2,0,,,
,14,48,4,3.4,0,,,
,15,32,3,3.6,0,,,
104,16,52,3,4.8,0,,2,3
,17,42,2,3.3,0,,,
,18,54,3,4.9,0,,,
,19,100,3,1.9,1,,,
,20,84,3,2.3,1,,,
105,21,66,5,2.4,1,,3,2
,22,78,5,1.5,1,,,
,23,50,4,3.3,0,,,
,24,62,4,3.4,0,,,
,25,78,3,1.6,1,,,
106,26,54,4,3,0,,1,4
,27,64,4,3.1,0,,,
,28,68,3,1.5,1,,,
,29,40,4,4.5,0,,,
,30,44,4,4.6,0,,,
,,,,,,,9,20
,,min,,,,,,
,,32,2,1.5,0,,,
,,max,,,,,,
,,100,5,5,1,,,
,,mean,,,,,,
,,60.93333333,3.5,3.303333333,0.3,,,
,,Variance,,,,,,
,,222.5471264,0.4655172414,1.305333333,0.2172413793,,,
,,Standard Deviation,,,,,,
,,14.91801349,0.6822882392,1.142511853,0.4660915997,,,
,,mode,,,,,,
,,,3,,0,,,
,,median,,,,,,
,,60,3,3.3,0,,,
